station_id,lat,lon,PM2.5,i,j,wrf1h,les,dl
3272A,31.0378,121.2186,28.0,4,6,18.769944685040286,18.769944685040286,18.769944685040286
3271A,31.1663,121.2886,20.0,4,7,14.513374002185799,17.85619539860132,20.527439641033045
3268A,31.2838,121.3162,18.0,4,9,13.876035665949104,18.289893017501505,17.483558655335734
3269A,30.7456,121.3359,20.0,5,2,18.28541697718342,18.28541697718342,18.28541697718342
99306,31.1654,121.412,20.0,5,7,14.466878020095537,28.409271401038158,24.933934494955764
3273A,31.2059,121.3902,21.0,5,8,16.09869234359902,23.96691124811891,25.614496806406468
99298,31.238,121.4,18.0,5,8,16.014150937228397,23.597824297365133,24.45268474735496
99301,31.2261,121.425,21.0,5,8,14.923451241673169,31.699738828812805,29.54524386433625
99300,31.3008,121.467,17.0,5,9,18.375347541191143,18.375347541191143,18.375347541191143
3265A,31.3322,121.4316,22.0,5,10,23.14601715338069,23.14601715338069,23.14601715338069
3544A,30.925,121.4891,19.0,6,4,17.394946668642703,26.068337968014276,23.111227738120895
3270A,31.0739,121.4996,20.0,6,6,12.940890387399694,21.29469564573902,19.535934744494305
99299,31.2036,121.478,20.0,6,8,21.200750908866063,21.200750908866063,21.200750908866063
99303,31.2284,121.533,17.0,6,8,11.950946799004111,20.817042682335487,18.889716947005432
99307,31.2659,121.536,14.0,6,9,12.626921863458058,16.58145954355021,13.929180945456903
99302,31.1907,121.703,27.0,7,8,11.86164348275605,15.315526650427786,13.921785623644167
